instance_id,track,group,reference_type,reference_cost,lower_bound,lower_bound_method,gap_to_lower_bound,best_topology,solver_cost,solver_topology,optimality_gap,runtime_s,status
xgrid-f0-qcomp,constrained,crossing_grid,best_known,3515132.0149,2611390.1828584764,geometric_grade_floor,0.346077,sequential_ramp,,,,,
xgrid-f0-qmix,constrained,crossing_grid,best_known,4778555.5622,2611390.1828584764,geometric_grade_floor,0.82989,chained_fan,,,,,
xgrid-f0-qpoor,constrained,crossing_grid,best_known,7570503.7191,3470766.18413062,geometric_grade_floor,1.18122,sequential_ramp,,,,,
xgrid-f1-qcomp,constrained,crossing_grid,best_known,4784778.2883,2611390.1828584764,geometric_grade_floor,0.832272,spiral_decline,,,,,
xgrid-f1-qmix,constrained,crossing_grid,best_known,4663059.1084,2611390.1828584764,geometric_grade_floor,0.785662,sequential_ramp,,,,,
xgrid-f1-qpoor,constrained,crossing_grid,best_known,7749108.3726,3470766.18413062,geometric_grade_floor,1.232679,chained_fan,,,,,
xgrid-f2x-qcomp,constrained,crossing_grid,best_known,3541091.4989,2611390.1828584764,geometric_grade_floor,0.356018,sequential_ramp,,,,,
xgrid-f2x-qmix,constrained,crossing_grid,best_known,4636146.4252,2611390.1828584764,geometric_grade_floor,0.775356,sequential_ramp,,,,,
xgrid-f2x-qpoor,constrained,crossing_grid,best_known,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,sequential_ramp,,,,,
xgrid-fcj-qcomp,constrained,crossing_grid,best_known,3857406.2655,2611390.1828584764,geometric_grade_floor,0.477147,sequential_ramp,,,,,
xgrid-fcj-qmix,constrained,crossing_grid,best_known,4881880.0695,2611390.1828584764,geometric_grade_floor,0.869456,sequential_ramp,,,,,
xgrid-fcj-qpoor,constrained,crossing_grid,best_known,8550008.5316,3470766.18413062,geometric_grade_floor,1.463435,sequential_ramp,,,,,
portal-south,constrained,portal_sweep,best_known,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,sequential_ramp,,,,,
portal-north,constrained,portal_sweep,best_known,8547673.1507,3542328.3734941375,geometric_grade_floor,1.41301,sequential_ramp,,,,,
portal-east,constrained,portal_sweep,best_known,9688925.337,4401074.645856353,geometric_grade_floor,1.201491,sequential_ramp,,,,,
portal-west,constrained,portal_sweep,best_known,10342807.7356,4544199.024583389,geometric_grade_floor,1.276046,sequential_ramp,,,,,
zones-02,constrained,zone_count,best_known,7848510.9115,3470766.18413062,geometric_grade_floor,1.261319,sequential_ramp,,,,,
zones-04,constrained,zone_count,best_known,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,sequential_ramp,,,,,
zones-06,constrained,zone_count,best_known,9319465.4353,3470766.18413062,geometric_grade_floor,1.685132,chained_fan,,,,,
zones-08,constrained,zone_count,best_known,11087907.9483,3470766.18413062,geometric_grade_floor,2.194657,chained_fan,,,,,
scale-130k,constrained,scale_ladder,best_known,,3434985.0894488613,geometric_grade_floor,,,,,,,
scale-1m,constrained,scale_ladder,best_known,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,sequential_ramp,,,,,
scale-8m,constrained,scale_ladder,unsolved,,3452875.6367897405,geometric_grade_floor,,,,,,,
scale-129m,constrained,scale_ladder,unsolved,,3470766.18413062,geometric_grade_floor,,,,,,,
haul-t05,constrained,haulage_ratio,best_known,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,sequential_ramp,,,,,
haul-t10,constrained,haulage_ratio,best_known,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,sequential_ramp,,,,,
haul-t20,constrained,haulage_ratio,best_known,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,sequential_ramp,,,,,
haul-t40,constrained,haulage_ratio,best_known,3661890.0336,1642214.4448903818,geometric_grade_floor,1.229849,sequential_ramp,,,,,
