instance_id,track,group,reference_type,reference_cost,lower_bound,lower_bound_method,gap_to_lower_bound,best_topology,solver_cost,solver_topology,optimality_gap,runtime_s,status
xgrid-f0-qcomp,raw,crossing_grid,best_known,1275081.4297,1036869.5045,pairwise_divergence,0.229741,chained_fan,,,,,
xgrid-f0-qmix,raw,crossing_grid,best_known,1565079.5469,1279344.7695,pairwise_divergence,0.223345,chained_fan,,,,,
xgrid-f0-qpoor,raw,crossing_grid,best_known,2866032.4688,2272975.0475,pairwise_divergence,0.260917,chained_fan,,,,,
xgrid-f1-qcomp,raw,crossing_grid,best_known,1234778.2783,1037135.9286,pairwise_divergence,0.190566,chained_fan,,,,,
xgrid-f1-qmix,raw,crossing_grid,best_known,1455235.9609,1216273.9464,pairwise_divergence,0.196471,chained_fan,,,,,
xgrid-f1-qpoor,raw,crossing_grid,best_known,2609782.6562,1996360.6779,pairwise_divergence,0.30727,chained_fan,,,,,
xgrid-f2x-qcomp,raw,crossing_grid,best_known,1237434.9551,1054885.8364,pairwise_divergence,0.173051,chained_fan,,,,,
xgrid-f2x-qmix,raw,crossing_grid,best_known,1627779.4844,1335288.88,pairwise_divergence,0.219047,chained_fan,,,,,
xgrid-f2x-qpoor,raw,crossing_grid,best_known,2819663.9297,2307299.0084,pairwise_divergence,0.222063,chained_fan,,,,,
xgrid-fcj-qcomp,raw,crossing_grid,best_known,1302700.0859,1091359.5418,pairwise_divergence,0.193649,chained_fan,,,,,
xgrid-fcj-qmix,raw,crossing_grid,best_known,1575778.8672,1237832.4725,pairwise_divergence,0.273015,chained_fan,,,,,
xgrid-fcj-qpoor,raw,crossing_grid,best_known,2842397.75,2261708.6226,pairwise_divergence,0.256748,chained_fan,,,,,
portal-south,raw,portal_sweep,best_known,2819663.9297,2307299.0084,pairwise_divergence,0.222063,chained_fan,,,,,
portal-north,raw,portal_sweep,best_known,2822644.2109,2306028.9889,pairwise_divergence,0.224028,chained_fan,,,,,
portal-east,raw,portal_sweep,best_known,3538916.5859,2895858.9479,pairwise_divergence,0.222061,chained_fan,,,,,
portal-west,raw,portal_sweep,best_known,3420724.3984,2907514.1106,pairwise_divergence,0.176512,chained_fan,,,,,
zones-02,raw,zone_count,best_known,2366242.75,2307299.0084,pairwise_divergence,0.025547,single_junction,,,,,
zones-04,raw,zone_count,best_known,2819663.9297,2307299.0084,pairwise_divergence,0.222063,chained_fan,,,,,
zones-06,raw,zone_count,best_known,4112725.7109,2588658.2181,pairwise_divergence,0.588748,chained_fan,,,,,
zones-08,raw,zone_count,best_known,5703318.3633,3008454.8508,pairwise_divergence,0.895763,chained_fan,,,,,
scale-130k,raw,scale_ladder,best_known,2836435.3438,2171828.8547,pairwise_divergence,0.306012,chained_fan,,,,,
scale-1m,raw,scale_ladder,best_known,2819663.9297,2307299.0084,pairwise_divergence,0.222063,chained_fan,,,,,
scale-8m,raw,scale_ladder,unsolved,,0.0,none,,,,,,,
scale-129m,raw,scale_ladder,unsolved,,0.0,none,,,,,,,
haul-t05,raw,haulage_ratio,best_known,2261012.4375,1433027.1497,pairwise_divergence,0.577788,single_junction,,,,,
haul-t10,raw,haulage_ratio,best_known,2261012.4375,1433027.1497,pairwise_divergence,0.577788,single_junction,,,,,
haul-t20,raw,haulage_ratio,best_known,2261012.4375,1433027.1497,pairwise_divergence,0.577788,single_junction,,,,,
haul-t40,raw,haulage_ratio,best_known,2261012.4375,1433027.1497,pairwise_divergence,0.577788,single_junction,,,,,
