instance_id,track,group,reference_type,reference_cost,lower_bound,lower_bound_method,gap_to_lower_bound,best_topology,solver_cost,solver_topology,optimality_gap,runtime_s,status
xgrid-f0-qcomp,total,crossing_grid,best_known,16322457.348,12611087.223054891,geometric_grade_floor+opex_floor,0.294294,sequential_ramp,,,,,
xgrid-f0-qmix,total,crossing_grid,best_known,17491257.9375,12611087.223054891,geometric_grade_floor+opex_floor,0.386975,chained_fan,,,,,
xgrid-f0-qpoor,total,crossing_grid,best_known,20741714.5606,13470463.224327035,geometric_grade_floor+opex_floor,0.539792,twin_decline,,,,,
xgrid-f1-qcomp,total,crossing_grid,best_known,17620454.3531,12611087.223054891,geometric_grade_floor+opex_floor,0.397219,spiral_decline,,,,,
xgrid-f1-qmix,total,crossing_grid,best_known,18172375.3265,12611087.223054891,geometric_grade_floor+opex_floor,0.440984,sequential_ramp,,,,,
xgrid-f1-qpoor,total,crossing_grid,best_known,20301743.2122,13470463.224327035,geometric_grade_floor+opex_floor,0.50713,chained_fan,,,,,
xgrid-f2x-qcomp,total,crossing_grid,best_known,17122427.2703,12611087.223054891,geometric_grade_floor+opex_floor,0.357728,sequential_ramp,,,,,
xgrid-f2x-qmix,total,crossing_grid,best_known,17740234.3311,12611087.223054891,geometric_grade_floor+opex_floor,0.406717,sequential_ramp,,,,,
xgrid-f2x-qpoor,total,crossing_grid,best_known,20691907.1066,13470463.224327035,geometric_grade_floor+opex_floor,0.536095,chained_fan,,,,,
xgrid-fcj-qcomp,total,crossing_grid,best_known,17407638.9652,12611087.223054891,geometric_grade_floor+opex_floor,0.380344,twin_decline,,,,,
xgrid-fcj-qmix,total,crossing_grid,best_known,18781232.0161,12611087.223054891,geometric_grade_floor+opex_floor,0.489264,sequential_ramp,,,,,
xgrid-fcj-qpoor,total,crossing_grid,best_known,21473395.7155,13470463.224327035,geometric_grade_floor+opex_floor,0.59411,twin_decline,,,,,
portal-south,total,portal_sweep,best_known,20691907.1066,13470463.224327035,geometric_grade_floor+opex_floor,0.536095,chained_fan,,,,,
portal-north,total,portal_sweep,best_known,21794508.1002,13867731.201363118,geometric_grade_floor+opex_floor,0.571599,sequential_ramp,,,,,
portal-east,total,portal_sweep,best_known,26773692.8472,18634946.925796133,geometric_grade_floor+opex_floor,0.436746,sequential_ramp,,,,,
portal-west,total,portal_sweep,best_known,27870116.3339,19429482.8798683,geometric_grade_floor+opex_floor,0.434424,sequential_ramp,,,,,
zones-02,total,zone_count,best_known,15592335.4758,9100065.838658014,geometric_grade_floor+opex_floor,0.713431,sequential_ramp,,,,,
zones-04,total,zone_count,best_known,20691907.1066,13470463.224327035,geometric_grade_floor+opex_floor,0.536095,chained_fan,,,,,
zones-06,total,zone_count,best_known,24189910.1823,15514438.329945158,geometric_grade_floor+opex_floor,0.559187,chained_fan,,,,,
zones-08,total,zone_count,best_known,31099205.1923,20251144.59946971,geometric_grade_floor+opex_floor,0.535676,chained_fan,,,,,
scale-130k,total,scale_ladder,best_known,,13271829.235808996,geometric_grade_floor+opex_floor,,,,,,,
scale-1m,total,scale_ladder,best_known,20691907.1066,13470463.224327035,geometric_grade_floor+opex_floor,0.536095,chained_fan,,,,,
scale-8m,total,scale_ladder,unsolved,,13371146.230068015,geometric_grade_floor+opex_floor,,,,,,,
scale-129m,total,scale_ladder,unsolved,,13470463.224327035,geometric_grade_floor+opex_floor,,,,,,,
haul-t05,total,haulage_ratio,best_known,9941024.1803,5100859.560086803,geometric_grade_floor+opex_floor,0.948892,sequential_ramp,,,,,
haul-t10,total,haulage_ratio,best_known,14177851.8913,8505630.933998622,geometric_grade_floor+opex_floor,0.666878,sequential_ramp,,,,,
haul-t20,total,haulage_ratio,best_known,22356751.2799,15315173.681822265,geometric_grade_floor+opex_floor,0.459778,conventional_decline,,,,,
haul-t40,total,haulage_ratio,best_known,38409953.2659,28934259.17746955,geometric_grade_floor+opex_floor,0.32749,conventional_decline,,,,,
