instance_id,group,group_label,axis,axis_value,cell_size_m,nx,ny,nz,n_voxels,n_passable,n_zones,n_sublevels,n_families,reference_type,reference_cost,reference_cost_buildable,best_topology,lower_bound,lower_bound_method,gap_to_lower_bound,lower_bound_raw,gap_to_lower_bound_raw,reference_cost_constrained,lower_bound_constrained,lower_bound_method_constrained,gap_to_lower_bound_constrained,reference_cost_total,lower_bound_total,gap_to_lower_bound_total,grid_sha256,seed
xgrid-f0-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","none, competent",5.0,126,82,100,1033200,914913,4,4,12,best_known,1275081.4297,3515132.0149,chained_fan,1036869.5045,pairwise_divergence,0.229741,1036869.5045,0.229741,3515132.0149,2611390.1828584764,geometric_grade_floor,0.346077,16322457.348,12611087.223054891,0.294294,sha256:55468d251e37ca8612e0f6d4cb8760270ebfe116af927515651db26f6e33c42d,42000
xgrid-f0-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","none, mixed",5.0,126,82,100,1033200,914913,4,4,12,best_known,1565079.5469,4778555.5622,chained_fan,1279344.7695,pairwise_divergence,0.223345,1279344.7695,0.223345,4778555.5622,2611390.1828584764,geometric_grade_floor,0.82989,17491257.9375,12611087.223054891,0.386975,sha256:46b73093137012f4304d03723f2bc4911d6037756e9636e5118e0d184fc029f7,42100
xgrid-f0-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","none, poor",5.0,126,82,100,1033200,914913,4,4,12,best_known,2866032.4688,7570503.7191,chained_fan,2272975.0475,pairwise_divergence,0.260917,2272975.0475,0.260917,7570503.7191,3470766.18413062,geometric_grade_floor,1.18122,20741714.5606,13470463.224327035,0.539792,sha256:a5a6823d4af0e6b459cde701710a6c3adaa75e1c4a0da62576e57ac97b3ae3f4,42200
xgrid-f1-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","1 fault, competent",5.0,126,82,100,1033200,914913,4,4,12,best_known,1234778.2783,4485408.3758,chained_fan,1037135.9286,pairwise_divergence,0.190566,1037135.9286,0.190566,4784778.2883,2611390.1828584764,geometric_grade_floor,0.832272,17620454.3531,12611087.223054891,0.397219,sha256:4cb6c4e25f1cbd9a4f3864c792eab5f2c8f35f931ef99bae91f82c6f628e4fe5,42001
xgrid-f1-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","1 fault, mixed",5.0,126,82,100,1033200,914913,4,4,12,best_known,1455235.9609,4663059.1084,chained_fan,1216273.9464,pairwise_divergence,0.196471,1216273.9464,0.196471,4663059.1084,2611390.1828584764,geometric_grade_floor,0.785662,18172375.3265,12611087.223054891,0.440984,sha256:90c1333d13e042f393aaf0682aae48fb4a42c449515782b03eb7c6943f05bcc5,42101
xgrid-f1-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","1 fault, poor",5.0,126,82,100,1033200,914913,4,4,12,best_known,2609782.6562,7749108.3726,chained_fan,1996360.6779,pairwise_divergence,0.30727,1996360.6779,0.30727,7749108.3726,3470766.18413062,geometric_grade_floor,1.232679,20301743.2122,13470463.224327035,0.50713,sha256:12b11e472fbeb759883cb5f81db2739f2c3551ad36150b0e3570b15003039599,42201
xgrid-f2x-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","2 crossing, competent",5.0,126,82,100,1033200,914913,4,4,12,best_known,1237434.9551,3541091.4989,chained_fan,1054885.8364,pairwise_divergence,0.173051,1054885.8364,0.173051,3541091.4989,2611390.1828584764,geometric_grade_floor,0.356018,17122427.2703,12611087.223054891,0.357728,sha256:93c4aaca90d352665d0810910366415dc6294b01b7dc5c48fbf9abf391e86acc,42002
xgrid-f2x-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","2 crossing, mixed",5.0,126,82,100,1033200,914913,4,4,12,best_known,1627779.4844,4636146.4252,chained_fan,1335288.88,pairwise_divergence,0.219047,1335288.88,0.219047,4636146.4252,2611390.1828584764,geometric_grade_floor,0.775356,17740234.3311,12611087.223054891,0.406717,sha256:6a83616b589cf818250c2d76447c43a558873cd50bb53cf9ba65422cc4b1a06e,42102
xgrid-f2x-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","2 crossing, poor",5.0,126,82,100,1033200,914913,4,4,12,best_known,2819663.9297,7930198.3549,chained_fan,2307299.0084,pairwise_divergence,0.222063,2307299.0084,0.222063,7930198.3549,3470766.18413062,geometric_grade_floor,1.284855,20691907.1066,13470463.224327035,0.536095,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
xgrid-fcj-qcomp,crossing_grid,Crossing grid,"fault_system, q_regime","conjugate, competent",5.0,126,82,100,1033200,914913,4,4,12,best_known,1302700.0859,3857406.2655,chained_fan,1091359.5418,pairwise_divergence,0.193649,1091359.5418,0.193649,3857406.2655,2611390.1828584764,geometric_grade_floor,0.477147,17407638.9652,12611087.223054891,0.380344,sha256:30c50a203d3c0edc0ca63c7f7126eb70b8d127fcb67de232b741ecc44fa382c4,42003
xgrid-fcj-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","conjugate, mixed",5.0,126,82,100,1033200,914913,4,4,12,best_known,1575778.8672,4874692.5988,chained_fan,1237832.4725,pairwise_divergence,0.273015,1237832.4725,0.273015,4881880.0695,2611390.1828584764,geometric_grade_floor,0.869456,18781232.0161,12611087.223054891,0.489264,sha256:0c8369694a3af5f7053eb49759b42310bdd44e7217a461472f7f0bca3a235cf5,42103
xgrid-fcj-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","conjugate, poor",5.0,126,82,100,1033200,914913,4,4,12,best_known,2842397.75,8152489.8284,chained_fan,2261708.6226,pairwise_divergence,0.256748,2261708.6226,0.256748,8550008.5316,3470766.18413062,geometric_grade_floor,1.463435,21473395.7155,13470463.224327035,0.59411,sha256:de224e503cdd49715bd7cf71678277801245f356ca9c43b5bba6e3d217b17d7d,42203
